,lat,lon,id,title,start_ts,report_type,severity,lat_long,severity_quadratic,city,anomalous
47,39.95233,-75.16379,xECk7abA5hGahKMCZNc2RA,Police: Teen was targeted in west Philadelphia shooting,2016-12-12 20:09:46,Physical Threats,medium,"(39.952329999999996, -75.163790000000006)",9,Philadelphia,1.0
50,33.749,-84.38798,1Bf6jKfA5hGjPaUCZNc2RA,"Kandi Burruss Accuses Phaedra Parks Of Lying About Bomb Threat, Says Mama Joyce Needs A ...",2016-12-12 20:14:13,Physical Threats,moderate,"(33.749000000000002, -84.387979999999999)",4,Atlanta,1.0
61,37.566,126.9784,aEEW4KfA5hGnLacCZNc2RA,South Korea PM to be briefed on state affairs as Park impeached,2016-12-12 20:16:33,Geopolitical,moderate,"(37.566000000000003, 126.97839999999999)",4,Seoul,1.0
84,36.20124,37.16117,pH5cWrnA5hGM7pECZNc2RA,Syrian army moves closer to complete recapture of Aleppo,2016-12-12 22:21:39,Geopolitical,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
89,35.0,105.0,On4kg7_A5hG8tZECZNc2RA,"Iran seals $17 bln Boeing deal, close to Airbus order",2016-12-12 23:05:45,Other,moderate,"(35.0, 105.0)",4,Tianshui,1.0
93,36.20124,37.16117,YEnb87_A5hGr_ZICZNc2RA,94% Seized: Key east Aleppo liberated by Syrian Army after swift night assault / Map,2016-12-12 23:08:54,Geopolitical,moderate,"(36.201240000000006, 37.161169999999998)",4,Aleppo,1.0
129,36.20124,37.16117,pOeV7fHA5hG+hJ0CZNc2RA,Syrian rebels get proposal to quit Aleppo; militants retake Palmyra,2016-12-13 05:06:38,Geopolitical,high,"(36.201240000000006, 37.161169999999998)",16,Aleppo,1.0
131,36.20124,37.16117,2PZC7vHA5hGddZ0CZNc2RA,Aleppo teacher: 'It's Doomsday in rebel-held east',2016-12-13 05:06:39,Crime,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
134,36.20124,37.16117,irND9_HA5hGrmwvRy13KCQ,The Latest: Syria claims 99 percent control of Aleppo,2016-12-13 05:06:54,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
142,13.63439,79.543521,REaozPLA5hGepgrRy13KCQ,Tirupati Airport resumes operations following passage of Cyclone Vardah - Update,2016-12-13 00:00:00,riskline_7,moderate,"(13.63439, 79.543520999999998)",4,Ambattūr,1.0
