time,city,row,lat,lon,id,title,start_ts,report_type,severity,lat_long,severity_quadratic,city,anomalous
2016-12-12 15:16:31,Nagpur,2318,21.14631,79.08491,GDV39n3A5hGGOhnRy13KCQ,"Nagpur: Owner, two managers booked as pharma unit blast toll hits nine",2016-12-12 15:16:31,Infrastructure,medium,"(21.14631, 79.084909999999994)",9.0,Nagpur,1.0
2016-12-12 17:14:13,Jakarta,2850,-6.21462,106.84513000000001,PhGtZ47A5hGFZBzRy13KCQ,Indonesian police arrest 4 in a failed bomb plot,2016-12-12 17:14:13,Crime,moderate,"(-6.21462, 106.84513000000001)",4.0,Jakarta,1.0
2016-12-12 17:23:12,Surrey,2975,49.199670000000005,-122.81931999999999,tOzcqI_A5hGzeaECZNc2RA,Alex Fraser Bridge closure defended as a necessary safety measure,2016-12-12 17:23:12,Infrastructure,medium,"(49.199670000000005, -122.81931999999999)",9.0,Surrey,1.0
2016-12-12 18:02:37,Atlanta,3030,33.67927,-84.27186999999999,DvOpKpXA5hGHLBvRy13KCQ,Ayurvedic resort opened,2016-12-12 18:02:37,Public Health,moderate,"(33.679270000000002, -84.271869999999993)",4.0,Atlanta,1.0
2016-12-12 18:07:14,Nagpur,2909,22.0,79.0,PPeQz5XA5hGwkqQCZNc2RA,To boldly go,2016-12-12 18:07:14,Infrastructure,medium,"(22.0, 79.0)",9.0,Nagpur,1.0
2016-12-12 18:10:56,Chennai,3100,13.08784,80.27847,hszxU5bA5hGmQxnRy13KCQ,Cyclone Vardah lashes south India coast with 120km/h winds,2016-12-12 18:10:56,Geopolitical,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 18:11:09,Chennai,3117,13.08784,80.27847,utOfW5bA5hGDeh3Ry13KCQ,Cyclone Vardah: Rail and air services affected in Chennai,2016-12-12 18:11:09,Other,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 18:11:11,Chennai,3039,13.08784,80.27847,DvzlXJbA5hG9chvRy13KCQ,"Cyclonic Storm Vardah Hits Chennai Coast, People Evacuated to Relief Centers",2016-12-12 18:11:11,Infrastructure,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 18:13:39,Seoul,2985,37.566,126.9784,iMXltJbA5hGuOaECZNc2RA,The Korea Interbank Offered Rates (KORIBOR),2016-12-12 18:13:39,Geopolitical,moderate,"(37.566000000000003, 126.97839999999999)",4.0,Seoul,1.0
2016-12-12 18:17:36,Aleppo,3162,36.201240000000006,37.16117,vFdzQpfA5hGeSx3Ry13KCQ,Syrian troops take even more ground in rebel part of Aleppo,2016-12-12 18:17:36,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 19:09:05,Chennai,3302,13.08784,80.27847,3ryLc57A5hGX2R7Ry13KCQ,"10 updates on Cyclone Vardah: Wind speed reduces, storm to move towards Karnata...",2016-12-12 19:09:05,Infrastructure,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 20:05:59,Tianshui,3474,35.0,105.0,KhKGZqbA5hGsdSHRy13KCQ,Japan protests against China's claims of dangerous conduct by fighter jets,2016-12-12 20:05:59,Other,moderate,"(35.0, 105.0)",4.0,Tianshui,1.0
2016-12-12 20:09:46,Philadelphia,20,39.952329999999996,-75.16379,xECk7abA5hGahKMCZNc2RA,Police: Teen was targeted in west Philadelphia shooting,2016-12-12 20:09:46,Physical Threats,medium,"(39.952329999999996, -75.163790000000006)",9.0,Philadelphia,1.0
2016-12-12 20:12:29,Multān,3602,30.0,70.0,mHigTqfA5hG2+R_Ry13KCQ,Pakistan army chief Bajwa removes ISI leader in major military reshuffle,2016-12-12 20:12:29,Geopolitical,medium,"(30.0, 70.0)",9.0,Multān,1.0
2016-12-12 20:14:13,Atlanta,23,33.749,-84.38798,1Bf6jKfA5hGjPaUCZNc2RA,"Kandi Burruss Accuses Phaedra Parks Of Lying About Bomb Threat, Says Mama Joyce Needs A ...",2016-12-12 20:14:13,Physical Threats,moderate,"(33.749000000000002, -84.387979999999999)",4.0,Atlanta,1.0
2016-12-12 20:14:54,Cairo,3613,30.06263,31.249670000000002,HGUQpafA5hGGiiHRy13KCQ,Coptic Christian bomb attack victims’ grief-stricken relatives carry coffins of loved ones’ killed in Cairo blast,2016-12-12 20:14:54,Physical Threats,medium,"(30.062629999999999, 31.249670000000002)",9.0,Cairo,1.0
2016-12-12 22:11:36,Tokyo,3980,35.685359999999996,139.75309,KNqL8rfA5hGW5wvRy13KCQ,Japan denies Chinese claim of dangerous fighter-jet conduct,2016-12-12 22:11:36,Geopolitical,moderate,"(35.685359999999996, 139.75308999999999)",4.0,Tokyo,1.0
2016-12-12 22:15:12,Kampala,4009,1.25,32.5,wNaic7jA5hGLsgrRy13KCQ,Uganda: Army Says King Mumbere Has Camps in DR Congo,2016-12-12 22:15:12,Other,moderate,"(1.25, 32.5)",4.0,Kampala,1.0
2016-12-12 22:17:16,Kampala,4053,0.31628,32.582190000000004,muBHvbjA5hGReZQCZNc2RA,Uganda: 'Women in Big Offices Beating Up Husbands',2016-12-12 22:17:16,Physical Threats,moderate,"(0.31628000000000001, 32.582190000000004)",4.0,Kampala,1.0
2016-12-12 22:22:27,Tianshui,4067,35.0,105.0,yAaedrnA5hGaJ5ICZNc2RA,Kenya: Conspiracy against travellers going upcountry for Christmas,2016-12-12 22:22:27,Crime,moderate,"(35.0, 105.0)",4.0,Tianshui,1.0
2016-12-12 23:18:03,Preston,4511,54.75844,-2.6953099999999997,WPDfOsHA5hGKGgrRy13KCQ,Theresa May sets out plan to adopt official definition of anti-Semitism in fight to tackle rise in anti-Jewish attacks,2016-12-12 23:18:03,Other,moderate,"(54.75844, -2.6953099999999997)",4.0,Preston,1.0
2016-12-13 00:00:00,Gaza,6972,31.215999999999998,34.1103,QGOwpSXB5hGyrgvRy13KCQ,Deadly roadside bomb targets security forces in North Sinai governorate,2016-12-13 00:00:00,riskline_2,high,"(31.215999999999998, 34.110300000000002)",16.0,Gaza,1.0
2016-12-13 01:03:37,Baltimore,4855,40.27245,-76.90567,alPJ+s_A5hGPGQnRy13KCQ,2 charged in shooting outside Atlantic City casino,2016-12-13 01:03:37,Physical Threats,moderate,"(40.272449999999999, -76.905670000000001)",4.0,Baltimore,1.0
2016-12-13 01:09:07,Tokyo,4935,35.685359999999996,139.75309,xowjv9DA5hG_IJ4CZNc2RA,Japan Lodges Protest Against China's Claims Concerning Air Incident Near Okinawa,2016-12-13 01:09:07,Other,moderate,"(35.685359999999996, 139.75308999999999)",4.0,Tokyo,1.0
2016-12-13 01:15:40,Halifax,4949,43.76325,-65.32355,+u9QqdHA5hGnSJ4CZNc2RA,Snowfall warnings prompt some school closures and delays,2016-12-13 01:15:40,Other,moderate,"(43.763249999999999, -65.323549999999997)",4.0,Halifax,1.0
2016-12-13 05:05:52,Wichita,5599,39.76,-98.5,ODsk0vHA5hGHbJcCZNc2RA,The Plot Against America and the Terror of the Unforeseen: Part Three,2016-12-13 05:05:52,Physical Threats,moderate,"(39.759999999999998, -98.5)",4.0,Wichita,1.0
2016-12-13 06:08:26,Preston,5868,54.75844,-2.6953099999999997,9ILhj_rA5hGR7ArRy13KCQ,Six held in UK anti-terrorism raids; bomb disposal called in,2016-12-13 06:08:26,Physical Threats,moderate,"(54.75844, -2.6953099999999997)",4.0,Preston,1.0
2016-12-13 08:07:15,Atlanta,6158,32.75042,-83.50018,Nm7EKAvB5hGvAAvRy13KCQ,Russia Consolidates Military Control in Abkhazia as Georgia’s Ruling Party Further Eases Its Resistance,2016-12-13 08:07:15,Geopolitical,medium,"(32.750419999999998, -83.50018)",9.0,Atlanta,1.0
2016-12-13 10:05:51,London,6586,51.50853,-0.12574000000000002,NoJjuhvB5hG6qAvRy13KCQ,"Man Stabs London Passenger, Then Shouts 'I Want To Kill A Muslim': Report",2016-12-13 10:05:51,Geopolitical,moderate,"(51.50853, -0.12574000000000002)",4.0,London,1.0
2016-12-13 10:20:25,Lagos,6743,6.45407,3.3946699999999996,BBcUwx3B5hGn3AvRy13KCQ,Lagos PDP chair blames party crisis on 2019 presidential ambition,2016-12-13 10:20:25,Geopolitical,moderate,"(6.4540699999999998, 3.3946699999999996)",4.0,Lagos,1.0
2016-12-13 11:05:12,London,6855,46.533359999999995,-83.69991,2D2uBCTB5hGiVZMCZNc2RA,One man arrested after possible hostage situation on North Michigan Street,2016-12-13 11:05:12,Crime,moderate,"(46.533359999999995, -83.699910000000003)",4.0,London,1.0
2016-12-13 11:12:26,"Washington, D.C.",6907,38.8696,-78.5264,Ci5WByXB5hGG9wvRy13KCQ,Va. woman stopped from boarding Dulles-Ireland flight with loaded semi-automatic handgun,2016-12-13 11:12:26,Physical Threats,moderate,"(38.869599999999998, -78.526399999999995)",4.0,"Washington, D.C.",1.0
2016-12-13 11:15:00,"Washington, D.C.",6968,38.895109999999995,-77.03636999999999,8g2HYyXB5hGIhAvRy13KCQ,US Army Tactical Missile System Passes Second Flight Test - Lockheed Martin,2016-12-13 11:15:00,Other,medium,"(38.895109999999995, -77.036369999999991)",9.0,"Washington, D.C.",1.0
2016-12-13 12:09:14,Tokyo,7032,35.685359999999996,139.75309,sMuT9izB5hGfCJICZNc2RA,Japan's troops ready to use force in South Sudan,2016-12-13 12:09:14,Geopolitical,moderate,"(35.685359999999996, 139.75308999999999)",4.0,Tokyo,1.0
2016-12-13 13:17:57,Belgrade,7481,44.81892,20.459979999999998,TsY+kDbB5hGe+wjRy13KCQ,Serbian PM’s visit to Russia to focus on weapons agreement ― Serbian foreign minister,2016-12-13 13:17:57,Physical Threats,moderate,"(44.818919999999999, 20.459979999999998)",4.0,Belgrade,1.0
2016-12-13 13:18:58,Asyūţ,7508,27.0,30.0,dM+utDbB5hGmkwrRy13KCQ,Anger grows among Egypt's Christians after deadly church bombing in Cairo,2016-12-13 13:18:58,Physical Threats,medium,"(27.0, 30.0)",9.0,Asyūţ,1.0
2016-12-13 14:16:56,Chennai,7721,13.08784,80.27847,pADIzT7B5hGX2wnRy13KCQ,Chennai civic body acts swiftly to clear blocked roads,2016-12-13 14:16:56,Infrastructure,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-13 14:23:38,Tungi,7640,24.0,90.0,_MVLvT_B5hGGKpICZNc2RA,"Exclusive: SWIFT confirms new cyber thefts, hacking tactics",2016-12-13 14:23:38,Other,moderate,"(24.0, 90.0)",4.0,Tungi,1.0
2016-12-13 14:23:57,Tungi,7741,24.0,90.0,ZJGUyD_B5hGMd5QCZNc2RA,"Exclusive: SWIFT confirms new cyber thefts, hacking tactics",2016-12-13 14:23:57,Other,moderate,"(24.0, 90.0)",4.0,Tungi,1.0
2016-12-13 15:13:12,Sydney,7905,-33.4485,151.3346,+JXmqUbB5hGbDwjRy13KCQ,Salt Lake police investigating after man robbed near Pioneer Park in front of his child,2016-12-13 15:13:12,Physical Threats,moderate,"(-33.448500000000003, 151.33459999999999)",4.0,Sydney,1.0
2016-12-13 16:07:41,"Washington, D.C.",8035,38.895109999999995,-77.03636999999999,GJ11Rk7B5hGkSQrRy13KCQ,Washington State Travel Alerts,2016-12-13 16:07:41,Other,moderate,"(38.895109999999995, -77.036369999999991)",4.0,"Washington, D.C.",1.0
2016-12-13 16:10:27,The Bronx,8049,41.15148,-73.75339,DrFTqU7B5hGAtQvRy13KCQ,"Westchester Man Arrested With Pot, Illegal Credit Card In Greenburgh",2016-12-13 16:10:27,Other,moderate,"(41.151479999999999, -73.753389999999996)",4.0,The Bronx,1.0
2016-12-13 18:06:10,Ḩamāh,8658,35.0,38.0,vhrN017B5hG86QnRy13KCQ,Turkish jets pound IS outposts in Syria,2016-12-13 18:06:10,Geopolitical,extreme,"(35.0, 38.0)",25.0,Ḩamāh,1.0
2016-12-13 18:07:36,New York City,8645,40.71427,-74.00596999999999,6MD7Bl_B5hG3PJICZNc2RA,Lufthansa plane diverted to New York over bomb threat,2016-12-13 18:07:36,Physical Threats,low,"(40.714269999999999, -74.005969999999991)",1.0,New York City,1.0
2016-12-13 18:07:51,Ḩamāh,8646,35.0,38.0,QNbuD1_B5hGkugnRy13KCQ,Child labor phenomenon spreads in northeastern Syria,2016-12-13 18:07:51,Geopolitical,moderate,"(35.0, 38.0)",4.0,Ḩamāh,1.0
2016-12-13 18:13:46,Wichita,8680,39.76,-98.5,FBGs41_B5hGbfwnRy13KCQ,Inspector-General of Taxation Ali Noroozi says ATO needs to say 'sorry' for errors,2016-12-13 18:13:46,Other,moderate,"(39.759999999999998, -98.5)",4.0,Wichita,1.0
