,title,critical,predicted
2,Turkish citizens in Berlin protest PKK terror attack,0.0,1
5,VIDEO: Fire forces evacuation of Langley City apartment building,0.0,1
6,Erdogan’s clampdown fuelling Turkey’s year of terror,0.0,1
7,The Latest: Russia shows special forces in action in Syria,0.0,1
10,Nigerian police officer beheaded in Rivers Rerun election,0.0,1
16,Turkey blasts claimed by Kurdish militants; country mourns,0.0,1
17,Turkish Authorities Suspect PKK Behind Istanbul Attack,0.0,1
18,LIVE! Cyclone Vardah begins crossover from sea to coast,0.0,1
25,Russian warplanes kill over 300 Syrians in Palmyra,1.0,1
29,Government gains more ground in eastern Aleppo,1.0,1
31,Bomb blast kills at least 25 at Cairo Coptic church,0.0,1
33,Terror Attack Targets Women and Children at Main Christian Cathedral in Cairo,0.0,1
34,"Flights out of Chennai diverted, cancelled",0.0,1
38,Former IAF chief arrested over helicopter import deal,0.0,1
39,Official: FBI told Illinois GOP of possible email hacking,0.0,1
40,Official: FBI told Illinois GOP of possible email hacking,0.0,1
41,"Flights out of Chennai diverted, cancelled",0.0,1
44,FBI told Illinois GOP of possible email hacking: Official,0.0,1
49,Syrian troops take even more ground in rebel part of Aleppo,1.0,1
51,Vanishing civilians of Aleppo,1.0,1
52,Syria Says Government Forces Now Control 98 Percent of Aleppo,1.0,1
56,Japan protests against China's claims of dangerous conduct by fighter jets,0.0,1
62,Syrian military says it controls 98% of east Aleppo,1.0,1
63,"Flights, trains cancelled between Chennai and Bengaluru as cyclone Vardah intensifies",0.0,1
66,Islamic State on backfoot as Syrian army in 'final stages' to retake Aleppo,1.0,1
67,Creativity or dirty commercialism? Absolut Vodka Korea cashes in on anti-president protest,0.0,1
70,12 Guests Injured as Major Fire Closes Michigan Ski Resort,0.0,1
76,"Over 13,000 Civilians Evacuated From Aleppo Regions in 24 Hours",1.0,1
77,Egypt mourns 25 Christians killed in massive church bombing,0.0,1
79,Japan protests China over jet interference claim,0.0,1
85,"Woman in China kills 4 daughters, wounds another with kitchen knife",0.0,1
87,Syrian army moves closer to complete recapture of Aleppo,1.0,1
88,Syrian army moves closer to complete recapture of Aleppo,1.0,1
90,"13k+ civilians freed from E. Aleppo in 24 hours, 700 fighters lay down arms – Russian Def Min",1.0,1
91,Sidelined in Syria: US Irked by 'Success of Moscow and Damascus in Aleppo',1.0,1
92,Syrian forces retake 90 percent of eastern Aleppo: Monitor,1.0,1
93,LIVE: Cyclone Vardah expected to make landfall between 2 pm to 5 pm in Chennai,0.0,1
94,Rebel forces down to final few districts in east Aleppo,1.0,1
95,Trump targets Lockheed Martin's F-35 fighter jet costs,1.0,1
96,"Syrian Observatory: Over 10,000 civilians flee east Aleppo in 24 hours",1.0,1
97,Syrian army takes Aleppo district under intense bombardment,1.0,1
98,Generic copy of Roche flu pill Tamiflu hits US market,1.0,1
99,Syrian Observatory: Syrian army in control of 90 percent of areas held by militants in Aleppo,1.0,1
101,"Trump in War of Words with Intelligence Officials, Amid Disagreement Over Russian Hacking",1.0,1
105,Syrian government seizes another Aleppo district: Monitor,1.0,1
106,LATEST VIDEO: Syrian Gov't  Forces Pounds Rebel-held Aleppo,1.0,1
107,94% Seized: Key east Aleppo liberated by Syrian Army after swift night assault / Map,0.0,1
108,Over 13K civilians evacuated from Aleppo regions in 24 hours,0.0,1
109,S. Korean Military to Replace Computer Vaccine System,0.0,1
111,Syrian army seizes Aleppo’s Sheikh Saeed district,0.0,1
112,ISIL recaptures ancient city of Palmyra in Syria,0.0,1
113,The Latest: IS detains dozens in Syria's Palmyra,0.0,1
115,"Crane truck accident leaves 2 workers dead, 2 seriously injured",0.0,1
116,Theresa May sets out plan to adopt official definition of anti-Semitism in fight to tackle rise in anti-Jewish attacks,0.0,1
119,Cyclone Vardah: List of trains cancelled from Chennai,0.0,1
133,"Cyclone Vardah Hits Chennai; Petrol Pump Destroyed, Truck Overturns and Trees Uprooted: First ...",0.0,1
137,Kissinger met by protesters in Oslo,1.0,0
138,Japan Lodges Protest Against China's Claims Concerning Air Incident Near Okinawa,0.0,1
144,Pope Francis Expresses Sympathy with Syria in Letter Delivered to President Assad,0.0,1
145,Turkey bombing: 235 people detained in anti-terrorism raids,0.0,1
147,Turkish economy contracts amid instability,0.0,1
148,"URGENT: 100,000 Civilians Leave Aleppo City, Over 2,200 Terrorists Surrender",1.0,1
150,"Syria liberates Aleppo, militants leave last holdouts",1.0,1
151,The Plot Against America and the Terror of the Unforeseen: Part Three,1.0,0
152,Syrian rebels get proposal to quit Aleppo; militants retake Palmyra,1.0,1
153,Aleppo teacher: 'It's Doomsday in rebel-held east',1.0,1
154,French Lawmakers Plan to Visit Aleppo to Advocate Humanitarian Solution,1.0,1
155,22-year-old suicide bomber carried out Coptic church attack: Al-Sisi,0.0,1
156,The Latest: Syria claims 99 percent control of Aleppo,1.0,1
158,Official Anti-Semitism Definition by Britain Amid Rise in Anti-Jewish Attacks,0.0,1
159,Syrian govt gains more ground in eastern Aleppo,1.0,1
160,"In A Pro-Assad Stronghold, Security Comes At A Heavy Price",0.0,1
161,No password is ever complex enough for today's hackers,0.0,1
162,Assad forces nearing win in Aleppo as battle reaches 'final stages',1.0,1
163,"Militants Lose Control in Aleppo, Seize 2% Only",1.0,1
168,"At least 4 dead, 10 people wounded in Kismayo blast",0.0,1
169,Israel confirms first Turkish envoy since 2010,0.0,1
170,The Latest: 'Last distress call' from Aleppo clinic,1.0,1
172,Ministry: Militants broke through into Palmyra using suicide car bombs,0.0,1
175,ISIL Attack on Palmyra Proves Terrorists Must Not Be Given Chance to Recuperate: Russia MoD,0.0,1
181,Half a dozen people injured after Ferrari supercar ploughs into pedestrians,0.0,1
187,UK adopts international definition of anti-Semitism,0.0,1
190,Greene donations head to Gatlinburg to aid wildfire victims,0.0,1
195,White Helmets: Rescuing from the rubble of Assad's bombs,0.0,1
197,No injuries reported in Gainesville SWAT standoff,0.0,1
198,President al-Assad receives letter from Pope Francis expressing heartfelt sympathy with Syria,0.0,1
199,Cybersecurity startup uses Russian hackers,1.0,1
200,"Adding 200 more troops to Syria, U.S. deepens involvement",1.0,1
202,"Syria: 'Battle for Aleppo is over' as rebels withdraw, monitor claims",1.0,1
203,Syrian army controls the Bostan Al-Qasr and Al-Kalasa neighborhoods in the southern part of eastern Aleppo neighborhoods: Armed groups activists,1.0,1
205,Syria rebels retreat in Aleppo in 'terrifying' collapse,1.0,1
208,"McCain, Schumer weigh in on Russian election hacking reports",0.0,1
217,Flight from Houston makes emergency landing at JFK Airport,0.0,1
218,BREAKING: BOMB THREAT forces plane to make EMERGENCY LANDING at JFK airport in New York,0.0,1
220,"A President Trump Excites, and Worries, Persian Gulf Leaders",1.0,1
221,Canada asks U.S. court to toss case alleging it wrongly named woman a terrorist,1.0,0
223,Syrian general says Aleppo offensive in final stages,1.0,1
227,"Full Liberation of Aleppo Imminent, Syrians Pour into Streets in Joy",1.0,1
230,Syrian forces enter 'final stage' of Aleppo conquest,1.0,1
231,Syrian forces enter 'final stage' of Aleppo conquest,1.0,1
233,Carter arrives in Israel over Tel Aviv purchase of F-35s,1.0,0
235,Serbian PM’s visit to Russia to focus on weapons agreement ― Serbian foreign minister,0.0,1
239,"Over 91,000 displaced by fighting in Iraq's Mosul",0.0,1
241,Consumer spending expected to remain flattish on weak ringgit,1.0,0
242,"Exclusive: SWIFT confirms new cyber thefts, hacking tactics",0.0,1
243,"Exclusive: SWIFT confirms new cyber thefts, hacking tactics",0.0,1
260,Turkish jets pound IS outposts in Syria,0.0,1
262,Child labor phenomenon spreads in northeastern Syria,0.0,1
263,Qatar Airways plans move to GE-Powered A320 in Pratt blow,1.0,0
264,"IS again in Palmyra: US inconsistent in fighting terror, says Russia",1.0,1
269,Inspector-General of Taxation Ali Noroozi says ATO needs to say 'sorry' for errors,1.0,0
270,Inspector-General of Taxation Ali Noroozi says ATO needs to say 'sorry' for errors,1.0,0
271,Inspector-General of Taxation Ali Noroozi says ATO needs to say 'sorry' for errors,1.0,0
272,Inspector-General of Taxation Ali Noroozi says ATO needs to say 'sorry' for errors,1.0,0
273,US snowstorm wreaks travel havoc,1.0,0
275,Top US spy agency has not embraced CIA assessment on Russia hacking: Sources,1.0,1
276,Sources: Plane Forced To Land At JFK Airport Due To Bomb Threat,0.0,1
277,"Envoys discuss NKorea amid political flux in US, SKorea",1.0,1
278,"S. Korea, U.S., Japan hold talks to discuss cooperation against N.K. nukes",1.0,0
279,Exclusive: Top U.S. spy agency has not embraced CIA assessment on Russia hacking - sources,1.0,1
281,"Envoys discuss N. Korea amid political flux in US, S. Korea",1.0,0
282,"UAE,USA land forces conduct joint military exercise",1.0,1
284,Exclusive - Top U.S. spy agency has not embraced CIA assessment on Russia hacking: sources,1.0,1
285,Exclusive - Top US spy agency has not embraced CIA assessment on Russia hacking: sources,1.0,1
286,"Korea, US, Japan hold talks to discuss cooperation against NK nukes",1.0,0
287,"Russia wanted delay in Aleppo ceasefire, but unacceptable to US -State Dept",1.0,1
288,"Envoys discuss N. Korea amid political flux in US, S. Korea",1.0,0
290,South Korea: New blow for right to peaceful protest as appeal court upholds conviction of trade union leader,0.0,1
291,ABC News: Lufthansa flight to Germany diverted to NYC after threat,0.0,1
292,U.N. Secretary-General ‘Alarmed’ over Reports of Atrocities in Aleppo,1.0,1
293,Texas flight to Germany diverted to NYC after bomb threat,0.0,1
294,BREAKING: BOMB THREAT forces plane to make EMERGENCY LANDING at JFK airport in New York,0.0,1
299,Flight diverted to New York's JFK airport due to bomb threat,0.0,1
300,Flight diverted to New York's JFK airport due to bomb threat,0.0,1
301,Flight diverted to New York's JFK airport due to bomb threat,0.0,1
302,Germany-bound plane diverted to JFK after bomb threat,0.0,1
303,Flight diverted to New York's JFK airport due to bomb threat,0.0,1
304,Recent election deserves a protest,0.0,1
305,"Pro-Assad forces execute dozens of civilians in sweep through rebel-held Aleppo, says U.N.",1.0,1
309,Jerusalem of Trump: Where the president-elect might put the US embassy,0.0,1
310,Lufthansa flight makes emergency landing at JFK Airport over bomb threat,0.0,1
311,Flight diverted to New York's JFK airport due to bomb threat,0.0,1
313,Testimonial Warning Labels On Tobacco Products More Effective At Motivating Attempts To Quit Smoking: TCORS Report,1.0,0
314,"Top US spy overseers don’t endorse CIA conclusion that Russia tried to help Trump, sources say",1.0,1
315,Egypt's president says suicide bomber behind church attack in Cairo,0.0,1
316,"No relief from fog; 81 trains delayed, 6 cancelled",0.0,1
317,"Turkey says will intensify talks with Russia, others on Syria's Aleppo",1.0,1
318,The 3 Stage Plot to Assassinate Trump: Thirty Three Days to Armageddon,1.0,1
